service_name,service_category
"Brazilian Maintainance, Eyebrow Wax, Lip Wax","Eyebrows, Waxing"
Senegalese Twist,Men's Haircut
"Facial Wax, Women's Cut",Women's Haircut
VIRGINIA TECH ONLY Lip,Waxing
"Women's Dry Cut, Lip Waxing",Women's Haircut
Med/Large Box Braids W/Hair,Braids
Brilliant Ombre,Hair Color
"Gel mani with gel removal, Pedicure/Polish",Pedicure
Haircut & Razor w/ Clipper Shave,Men's Haircut
"Shampoo/ Style (NATURAL HAIR), Women's Trim, Protein and Moisture Treatment","Sets & Styles, Women's Haircut, Hair Treatments"
"Hair and Beauty Audit, Trim, Relaxer",Relaxers
"Brow Tint, Lip Wax","Eyebrows, Waxing"
"Deep Conditioning Treatment, Women's Trim, Semi Permanent Color, Cornrows","Hair Treatments, Women's Haircut, Hair Color, Braids"
Ladies Haircuts,Women's Haircut
"Shampoo, Retwist & Two Strand Twist",Twists
"loc retwist, loc corn rows",Locs
"WOMENS, FULL HEAD HI-LIGHT, CHILDREN 12 & under, REDKEN PROTIEN TREAMENT W/SERVICE",Women's Haircut
"Silk Press Blowout, Trim",Sets & Styles
Shoulder length Medium,Locs
"Lightener/Blonding (full head), +++Toner, Full Sew-in no leave out/part",Hair Color
"Women's Cut, Express Highlights",Women's Haircut
"Blow Out, Brow Wax","Style, Eyebrows"
Starter locs,Locs
"Brazilian blow out split end repair, Full Color",Hair Color
"Relaxer Retouch, Woman's Hair  Cut",Relaxers
"Wash, Retwist And Style",Locs
"Loc retwist, Loc style","Twists, Locs"
"Acrylic Full Set With Gel Polish, Chrome or Caviar or Rhinestones",Manicure
Head Lining,Barber
"Partial highlights, Glazing/toning, Olaplex treatment, Color retouch added to highlights, Haircut with chemical service, Root shading","Highlights, Hair Treatments"
"Chin or Lip, Legs -full, Brow Wax",Eyebrows
"relaxer, deep condition",Relaxers
"Relaxer/ Semi-permanent color and Style, Precision Haircut",Women's Haircut
Frontal Sew In Bob,"Weaves, Women's Haircut"
Creative Loc Style  (w/o maintenance),Locs
The Flawless Partial Sew In,Weaves
"Kid's Hairstyles W/ HAIR ADDED, Hair Cut",Women's Haircut
Full Glam Makeup,Makeup
"Shellac Manicure, Women's Cut","Manicure, Women's Haircut"
6 Ghana/Feed-in Braids,Braids
"Back Wax, Foot Detox",Waxing
"Shampoo and Style, Eyelash Extentions, Conditioning Steam Treatment","Sets & Styles, Eyelashes"
Revitapen Facial Infusion,Skincare
Women's Fade Cut,Women's Haircut
Eyelash Extensions - Full Set,Eyelashes
"BARE, EYEBROW DESIGN, HALF LEGS, EYEBROW TINT",Eyebrows
"Deep Conditioning Treatment, Keratin Treatment, Hot Oil Treatment, Shampoo, Press & Curl/Flat Iron","Hair Treatments, Straightening Treatments, Natural Hair"
90 min Massage,Massage
"Men's Cut and Beard Line up, Edge Up","Men's Haircut, Barber"
"Men's Cut, Teens cut",Men's Haircut
Gloss/toner,Hair Color
"Cornrows, Blowout","Braids, Style"
Lemonade braids,Braids
"Color Double Process, Hair Cut and Blowdry Style, Eyebrow Wax",Eyebrows
"Balayage, Blow dry added to color or cut, Add cut to color service",Highlights
Quick weave  w/ hair included,Weaves
TAPER FADEz~$30,Men's Haircut
Ombre/Balayage,Hair Color
"Add on cut with service, Single Process Color",Hair Color
"Women's Cut, Partial HighLights","Women's Haircut, Highlights"
Balancing Facial,Skincare
"Women's Cut, Base Color ""root"" Touch-up",Women's Haircut
Men's Cut Fade,Barber
Loc Repair,Style
Brow Wax Touch Up {Returning},Eyebrows
"Lowlights, Crochet Braids","Highlights, Braids"
silk blow out natural,Natural Hair
"Brow and Lip, Nose Wax",Waxing
"Full Color and Highlights, Gloss & Toner, Women's Cut",Women's Haircut
"Bridal Makeup, Formal Styling",Special Occasion Makeup
"Color Touch-Up, Toner/Gloss",Hair Color
Dimensional Ombre (Long Hair),Highlights
Women's Cut short hair,Women's Haircut
"Women's Cut, Men's Cliper",Women's Haircut
Wash & Curl Referral Special,Natural Hair
"Color correction, Balayage highlight/Ombre",Hair Color
Small Faux Locs,Extensions
Kids Haircut (under 12),Barber
SUNDAY APPOINTMENTS (CASH ONLY),Makeup
Edge Up w/ Trimmers & Razor,Barber
"Silk Press / Natural Press, Trim",Natural Hair
"Shampoo and Style, Relaxer Edge up",Sets & Styles
"Shampoo and style, Semipermanent color/rinse, Partial sew in on short hair",Sets & Styles
"Brow Wax(with add on), Lip Wax, Chin Wax, Nose Wax","Eyebrows, Waxing"
"Women's Haircut, Touch Up",Women's Haircut
Individual/Cluster Lashes,Eyelashes
Premium teen haircut (13-17),Men's Haircut
"Lavender Silkout, Bang trim",Women's Haircut
a) Treat Yo' Self,Manicure
Full VOLUME set,Eyelashes
"Women's Haircut With style, Eyebrow wax",Eyebrows
"Acrylic Fill, Add gel polish",Manicure
"Lip Wax, Brow Wax/Shaping",Waxing
Full/Frontal Sew In,Weaves
Natural Shampoo & Style,Style
"Loc Style For Men, Dreadlock Retwist","Locs, Twists"
"Color ""Root Touch up""",Hair Color
"Quick Weave, Add Color",Weaves
"Mini fill loyalty, Brow Wax",Eyebrows
"CHANGE COLORED Acrylics, Nail Art 2 fingers - Nail Art",Manicure
*Re-Touch For(Lg/Jmb Box Braids,Braids
"eyebrow wax, men's haircut",Eyebrows
"Kid Loc Retwist, Design","Locs, Barber"
Flat Irons,"Natural Hair, Sets & Styles, Style"
Brazilian Blowout,Braids
"Foilyage, Product Charge Xtra Thick/Long Hair, Women's Cut, Product Charge",Women's Haircut
Creative/Fashion Color,Hair Color
"Fusion Extensions, Partial",Highlights
"Box Braids, General Hair Consultation",Braids
"Brow Wax, Full head Color, Cut with color service",Eyebrows
"Bundles Custom Color, Sew-In Maintenance",Weaves
Feed in Braids (5 or more),Braids
40 Blowout,Style
"Single Process Color (retouch only), Women's Cut",Women's Haircut
Quick Fix + Taper (Women's),"Barber, Women's Haircut"
"Foil/Concept, Women's Cut",Women's Haircut
"Derma-planing, Brazillian Bikini Wax, Brow Cleanup, Brow tint, Eyelash tint, C plus lemon peel serum, Prickly pear seed serum","Skincare, Eyebrows, Eyelashes"
Royal Blowout,Natural Hair
"Style, Highlights/color panel",Style
"One Process Color, Women's Cut",Women's Haircut
Temple fade cut,Men's Haircut
"Full Babylight Foil, Root Shadow","Highlights, Hair Color"
"Dreadlocks, Shampoo and Style","Sets & Styles, Twists"
"Mens cut, partial highlight",Men's Haircut
"Balayage, Cut w/ Color",Highlights
"Blowout, Partial Highlights, Trim",Highlights
Natural Flexi Rods (Neck Length),Natural Hair
"Balance/Fill-In, Nail Repair",Manicure
Gentelmans regular haircut/beard co,"Barber, Men's Haircut"
"Twist out (natural hair), Hair Cut","Twists, Women's Haircut"
"Electrotherapy Scalp Treatment, Shampoo & Blow Dry: NORMAL DENSITY, Rinse","Hair Treatments, Sets & Styles, Hair Color"
"First Time Full Bikini Wax, Eyebrow Wax, Lip Wax","Eyebrows, Waxing"
"Gel Soak Off Removal, IBX Treatment 2 - Ongoing, Gel Polish / Shellac",Manicure
"Box Braid Touch Up, Card Service Fee for $5- $50 service",Braids
Relaxer Moisturizing,Chemical Perms
"Shampoo, Deep Condition, & Silk Press","Hair Treatments, Natural Hair"
"Dip Nails, Express Pedicure","Manicure, Pedicure"
Ponytail Extension,Extensions
"Pedicure, Full Set Gels",Pedicure
"Color Balance, Womens Cut, Bridal Trial Updo",Women's Haircut
"Lash and Brow services, Brow Wax",Eyebrows
"Balayage, Woman's haircut",Highlights
"Highlights, Brow Wax",Eyebrows
Medium Side Braids,Braids
"Fill-in acrylic, Chrome Gel Polish, Bling/Rhinestone Nail",Manicure
"Revitalize Facial, Brow Wax, Lip Wax",Waxing
Medium Coffin BALANCE,Manicure
"Nail Rebalance (Fill), Pedicure",Pedicure
Ponytail/Updo,Weaves
"Root Touch Up (Color Only), Women's Cut",Women's Haircut
"Natural/Classic Full Set, Eyebrow Shaping","Eyelashes, Eyebrows"
"Crochet Braids Pre- made Twist,Locs",Braids
"Blowout, Color Demi, Cornrows","Style, Braids"
"Silk Press, Deep Conditioning Treatment","Sets & Styles, Hair Treatments"
"Women's Cut, Brow Wax, Lip Wax, Partial Foil Highlights, Toner/extra color","Women's Haircut, Waxing, Highlights, Hair Color"
Acrylic Nails (Medium),Manicure
"Custom Cocktail Conditioning Treatment, Tame Your Tress I Wash and Go",Hair Treatments
"Full Balayage/ Ombré, Olaplex Treatment, *Haircut with Chemical Service*","Highlights, Hair Treatments"
Classic Eyelash Extensions full set,Eyelashes
Hair Style,Style
Mojito twist long,Twists
"Color, Loc Maintenance",Locs
"""Dermaplaning"" exfoliating facial, Eyebrow Tint",Eyebrows
"Goddess braids, color rinse/ STYLES ARE NOT INCLUDED, deep condition",Braids
"Correction (color removal), Ombre",Highlights
"Under 18 boy/girls cut, ""Mens"" Cut",Men's Haircut
Fresh Ends (Cut without Color),Women's Haircut
"Protein treatment, Shampoo set","Hair Treatments, Sets & Styles"
Beard & Mustache Trim,Barber
6 or more Feed-In Braids,Braids
"Rinse, Silk Press","Sets & Styles, Natural Hair"
"Vajacial, VSTEAM",Waxing
"Brazilian Wax - Maintenance, Underarm Wax",Waxing
"Single Process Color, Shampoo and style",Hair Color
"Shampoo and style, Perimeter only retouch(sides and back only)","Style, Relaxers"
"Crochet braids (long ) bulk  hair, Mobile fee, crochet braids (short) bulk hair","Braids, Special Occasion Style"
"SHAMPOO/STYLE natural or relax hair, SEMI-DEMI COLOR",Hair Color
Eyebrow Shaping(Waxing),Eyebrows
"Custom Facial, Eyelash Extensions",Eyelashes
"Ombre, Hair Cut (WITH COLOR SERVICE)",Highlights
"Natural Hair Maintenance Package, Hair Trim (add on), Blowdry (add on)","Braids, Women's Haircut, Style"
"""Damage Control"" EyeLash Repair, Bottom EyeLash Ext.  Install, EyeLash Extension Removal, EyeLash Cleaning",Eyelashes
"Pixie  shampoo&style, late fee /cancellation fee","Style, Special Occasion Style"
"Wedding, Styling",Special Occasion Style
"Women's Cut, Deep conditioning add on",Women's Haircut
"Partial Highlight, Ladies Haircut",Highlights
"2wk""PAPARAZZI""4-7D Fill",Eyelashes
"Full highlights, Lowlights added to highlight, Additional haircolor to a highlight, Brow Wax","Highlights, Eyebrows"
Crochet Weave long / med length,Braids
Cleanse and Silk,Natural Hair
"GHANA BRAIDS, NATURAL STYLES",Braids
"Women's hair cut, Dry hair style, Eyebrow Wax",Eyebrows
Natural Fill 3 weeks,Eyelashes
"Root touch up, Women's trim 1/2 in off, Partial highlight",Hair Color
"DermaGlow Facial, Eye Treatment, Hand Treatment",Skincare
"Full Color/Re-touch, Women's Cut",Women's Haircut
Let's Talk 5-6 Stitch feedIn Braids,Braids
"Eyebrow Wax, Lip wax","Eyebrows, Waxing"
Consultation,"Chemical Perms, Hair Color, Natural Hair, Sets & Styles, Style, Weaves"
"patches, chest",Waxing
"Hilight, Men's cut",Men's Haircut
"Additional Extension Add-On, Cornrows","Style, Braids"
"Women's Cut, Base + Partial Highlight",Women's Haircut
"Women's Cut, Partial Highlight, Add on color option",Women's Haircut
"Brow wax, Re-Lash on Eyelash Extensions",Eyebrows
Shampoo- Short Hair and Style w/ Line Up,"Barber, Sets & Styles"
Father and son haircut,Barber
"Upper leg, Brow Wax, Bikini Wax","Eyebrows, Waxing"
"Brazillian Wax, Underarms",Waxing
"Haircut/Trim, Virgin Relaxer",Relaxers
Full Color,Hair Color
Lace Closure Sew In (HAIR INCLUDED),Weaves
"Shampoo and set, Moisturizing hair mask","Sets & Styles, Hair Treatments, Relaxers"
"Polish Change/Hands, Pedicure/Polish",Pedicure
"Single Process Color, Haircut  w/Blowdry, Style",Hair Color
"Hard Gel Fill, Mini Pedicure","Manicure, Pedicure"
"Girls Cut (12-18 yrs), Women's Cut",Women's Haircut
"Relaxer Retouch, Semi/Demi Permanent Color",Relaxers
Eyebrow threading/eyebrow tinting,Eyebrows
"Full Sew-in, Take down",Weaves
Clean up,Barber
"2 -4 feedin cornrows, Shampoo , condition & blowdry, $4 convenience fee over $60","Braids, Natural Hair"
"Brazilian Wax, Full Face Wax, Brow TINT","Waxing, Eyebrows"
"Shampoo and Style, Mizani Scalp Care Treatment",Sets & Styles
"Balayage, Women's Haircut, Olaplex",Highlights
Ponytail Medium feed-in Braids,Braids
"Rinse (temp color), Basic flat-iron",Hair Color
"First time clients, Classic/volume mink lashes, Eyebrow tinting","Eyelashes, Eyebrows"
"Full Balayage, Babylights",Highlights
(Adult) First Time Client,Special Occasion Style
"Haircut, Toner",Hair Color
"Refill and gel polish, Snake skin, Nail art",Manicure
"Color, Women's Cut","Hair Color, Women's Haircut"
Large Individuals,Braids
"Root Touch up, Partial highlight","Hair Color, Highlights"
"Quick Weave, Add on relaxer, Express Pay Convenient Fee, Arch/Line/Pincurl/EndsClip/LilRinse",Weaves
"Chemical Peel w/ Facial, Brow Wax","Skincare, Waxing"
"Line up, Color or bleach",Barber
"Full Face Make-Up, Mink lashes",Makeup
"Partial highlights, Women's hair cut",Highlights
Butterfly braid,Braids
"Root Retouch, Bang Trim",Women's Haircut
"Balayage, Ombre', Sombre', Women's Cut",Women's Haircut
Recurl,Style
"RELAXER NEW GROWTH, SEMI PERMANENT COLOR","Relaxers, Hair Color"
After Hours Haircut Services(after 6pm on weekdays  and 5pm on Saturday),Men's Haircut
GLUED IN HAIR WEAVE,Weaves
"Shampoo and Style, Takedown","Sets & Styles, Natural Hair"
"Women's Cuts, New Growth Retouch only, Parcel Highlights",Highlights
Natural Glam Application without lashes,Makeup
Braid Maintenance (edges and crown area),Braids
"Women's Cut, Partial Hilites, Toners and Add on Color","Women's Haircut, Highlights"
"Highlight Retouch, Men's Cut",Men's Haircut
"Shampoo/Blowdry/Braid, Eyebrow Arch",Hair Treatments
"Small Area Trim, Individual Lashes","Women's Haircut, Eyelashes"
"Women's Cut, Base Color, Highlight",Women's Haircut
Razor lineup,Barber
"silk wrap, proplex",Sets & Styles
"Deep Conditioner, Balayage",Highlights
Classic Touch Up  (3 - 5 days after original service date),Eyelashes
"INSTALL UNIT, HOT OIL TREATMENT",Natural Hair
"Acrylic Fill, Gel Polish, Single nail art",Manicure
Mini Tarot Reading,Wellness
Sew In SPECIAL 7/31-8/14 ONLY,Weaves
"SILK PRESS  all hair types, Shoulder length natural hair, RESHAPING CUT/TRIM","Natural Hair, Women's Haircut"
"Partial Foil, Toner, Dry Cut, Deep Conditioning Treatment, Brow Wax, Lip Wax","Hair Color, Hair Treatments, Eyebrows, Waxing"
Extension removal-sewn in,Weaves
Fusion Full Set,Eyelashes
"All Over Color, Color Retouch, Women's Cut","Hair Color, Women's Haircut"
"Classic Facial, LED Light Therapy Add On",Skincare
"Fill-in acrylic, Gel Polish - (on top of acrylic)",Manicure
RELAXER Retouch,Relaxers
Middle part Closure Sew In,Weaves
Shampoo Blow Out - Adult,Style
"Shampoo and style, Deep Condition, Trim",Sets & Styles
"Silk press, All Over Color","Style, Hair Color"
Medium Braided Style,Braids
"Women's Cut, Toning or Clear Gloss Treatment",Women's Haircut
"Brazilian Blowout (PS), Root Touchup, Women's Cut & Style",Hair Color
"Buzz Cut, Flat Iron, Women's Cut","Barber, Style, Women's Haircut"
Full set with  colour gel,Manicure
"Line-Up, /razor",Barber
"Partial Sew In, Strip Lashes","Weaves, Eyelashes"
"Root touch up, Partial highlight, Gloss, Women's Cut","Hair Color, Women's Haircut"
"Traditional Sew in's, Hair Coloring per bundle",Extensions
"Shampoo & Style, Trim",Sets & Styles
"Back Facial, Facial",Skincare
Fab bundle specials,Weaves
"Highlight (Partial), Olaplex treatment, Deep Conditioning Treatment, Bang Trim, Childs Cut, Mens Cut","Hair Treatments, Women's Haircut, Men's Haircut"
"Senegalese/Feed in  braids, Ascent braids between Feed-in Braid",Braids
"Soak-Off, Gel Manicure, Gel Top coat",Manicure
October Volume Set,Eyelashes
"Fill (Any Shape), Nail Repair, Gel Polish Change(Feet)",Manicure
After Hour Appointments!!!! (8pm and after),Men's Haircut
"Texturizer, Women's cut",Women's Haircut
Line Up Only (Hair and Beard),Barber
"Full Set, Gel Manicure","Extensions, Manicure"
Color,"Hair Color, Style"
Long Bob Braids,Braids
Individual Eyelash Extensions,Eyelashes
"Partial relaxer and style, Semi color",Sets & Styles
"Scissor Cut, Gray Blending",Men's Color
Ghana braids 5 or 6,Braids
"Womens cut, Color Touchup/Regrowth",Women's Haircut
Wand Curl Softlook,Style
Line Up or Beard,Barber
Dry Haircut •Redesign,Women's Haircut
Glamour Eyelash Extensions,Eyelashes
"Relaxer:touch-up, Accent features","Relaxers, Style, Twists"
"Sew In-Basic, Wash & Blow Dry",Weaves
Partial quick weave,Weaves
Acrylic MED OMBRÉ P&W Nails,Manicure
"Eyebrow wax, Bikini",Eyebrows
"Eyelash Tint, Brow Wax & Tint",Eyelashes
SILK PRESS PLUS natural hair and transitioning hair,"Hair Treatments, Natural Hair"
FADES WITH BEARDS,Barber
Shampoo and Blow dry Only,Sets & Styles
2under braids,Braids
Shampoo/Blowdry (Relaxed or STS),"Sets & Styles, Style"
"SNS Set, Pedicure",Pedicure
"Partial highlights, Blowdry, Glaze or Express Toning",Highlights
"Balayage, Vivid Color Refresher",Highlights
"Acrylic Full-Set, Long length nails +, 2 Finger Chrome, Gel Polish, Swarovski Crystal 1 Finger Nail Art",Manicure
"Perm, Women's Cut and style",Chemical Perms
Blowout (Round Brush),Style
"custom wig, color bundles, highlights","Hair Color, Highlights"
"Acrylic Fill In  2 weeks short/med, Polish Change, 2 Finger handpainted art",Manicure
Take down/Shampoo,"Sets & Styles, Weaves"
"Women's Cut, Artistic Color",Women's Haircut
"Children Haircut, Chin Wax",Waxing
"all overy color (roots only), bang trim",Women's Haircut
"Full Hilight, Vivids",Highlights
Man Full Braids,Braids
Men’s haircut  and clipper shave,Men's Haircut
"Touch up, Partial low & Highlights","Hair Color, Highlights"
"Twist out, Women's Haircut, Single Process Color","Twists, Hair Color"
"Brow Wax, Misc",Eyebrows
"Foil Highlights- extra long hair, Toner, Treatments- Olaplex",Hair Color
"Gel manicure, Thao's Signature Pedicure",Manicure
Full highlight/lowlight,Highlights
"Deep Conditioning Treatment, Scalp Treatment, Protein Treatment, Olaplex Treatment, Hair Glaze Treatment, Dominican Roller Set/shampoo set","Hair Treatments, Sets & Styles"
"Color correction, Toner, womens Hair Cut",Hair Color
"Shampoo and style, Semi/ demi color","Sets & Styles, Hair Color"
Bridal HD Film Ready Airbrush Makeup’ individuali lashes included,Special Occasion Makeup
"Partial relaxer ONLY, Shampoo + Style","Chemical Perms, Style"
Sew- in with leave out,Weaves
Ombre Full Set - ANY LENGTH,Highlights
"Microdermabrasion, Brow & Lash Tint",Skincare
Color & HL,Hair Treatments
"Mini partial, Women's Cut",Women's Haircut
"Root touch up (one solid color), Women's DRY Cut",Women's Haircut
Enzyme Facial,Skincare
"Pedicure, Toe fill",Pedicure
"Shampoo + Style, Relaxer Retouch",Relaxers
Eyelash classic Fill 3 weeks,Eyelashes
"SINGLE PROCESS ROOT RETOUCH, WOMENS CUT",Women's Haircut
"4-6 No Knot braids, Trim","Braids, Women's Haircut"
"Trim, Natural Style","Women's Haircut, Natural Hair"
"Natural Hair Press, Trim only (add on service)","Natural Hair, Sets & Styles, Straightening Treatments, Style, Men's Haircut, Women's Haircut"
Feed in braids (5),Braids
Haircut with facial hair,"Barber, Men's Haircut"
"Consultation New Client Color, Full Foil hilight","Hair Treatments, Highlights"
2-Week Fill,Eyelashes
Fade w/ beard line up,Barber
"Color retouch (regrowth only), Glazing/toning, Olaplex treatment",Hair Treatments
"Root touch up, silk press","Hair Color, Natural Hair"
"Pedicure, Regular acrylic fill in, Nail art","Pedicure, Manicure"
2D-4D Russian Volume Fills,Eyelashes
Eyebrow Fill-in,Eyebrows
"All Over Color, Smoothing Treatment","Hair Color, Hair Treatments"
FULL Set,Extensions
"Oxygenation Skin Treatment, Eyebrow Tweeze (Clients every 5  weeks  +)",Eyebrows
"Acrylic, Design",Manicure
"Natural Style(BASIC), Deep Conditioning Treatment","Natural Hair, Hair Treatments"
"Travel Fee, Full sewin w/lace closure",Special Occasion Style
"Loc Style, CC fee1",Locs
Natural Standard Haircut,Women's Haircut
"Sts treatment, Cornrows",Braids
BASIC SILK PRESS shoulder length,"Natural Hair, Sets & Styles"
Large Braid style /  2 rows,Braids
"Silk press, Trim, Dudley cream press 4oz",Natural Hair
"All Over Color, Women's hair cut, Toner",Hair Color
"Base Color, Brazilian Blowout",Straightening Treatments
"Women's Cut, Eye brow waxing","Women's Haircut, Eyebrows, Waxing"
Basic Trim CASH ONLY,Women's Haircut
Classic Fill at 2 weeks,Eyelashes
Pretty Peepers Package,Eyebrows
"Root Touch-up, Tape-In Hair Extensions",Hair Color
"Shampoo Style (Extensions), Full Highlights",Highlights
"B3 add to color*, Balayage (tease&weave)foils, Toner","Hair Treatments, Hair Color"
"Shampoo/ Flatironed natural hair, Protein treatment","Natural Hair, Hair Treatments"
"Single color retouch, Women's Cut, Men's Cut, Express pedicure","Hair Color, Women's Haircut, Men's Haircut"
"Color touch up, Sew-in take down, Full sewin",Weaves
HAIRCUT ONLY  NO FACE INCLUDED..,Men's Haircut
Mens Beard Trim,"Barber, Men's Color"
"Balayage/ombre, Women's Cut, Toner, Chemistry Treatment","Women's Haircut, Hair Color"
Shampoo /Blowdry Only,Sets & Styles
"Acrylic Fill, Nail Repair, Partial swarovski, Full nail Swarovski",Manicure
Medium Lemonades,Braids
4 - 5 Goddess or Feed in Braids,Braids
Natural Hair Twisting,Natural Hair
"Women's Cut, Consultation, Partial Balayage","Women's Haircut, Highlights"
"Men's Cut, Men's Cut and Shave",Men's Haircut
"All Over Color, Relaxer Touch Up","Hair Color, Relaxers"
"Fills with Shellac Polish, Polish Change",Manicure
Relaxer Retouch  Includes Style,Relaxers
"Gel Nails Fullset, Pedicure",Pedicure
Natural blow outs,Natural Hair
Palm roll,Locs
"Virgin Relaxer, Add on Partial relaxer",Relaxers
"Designs, Undercut",Women's Haircut
Hollywood Hybrid Set,Eyelashes
Medium Cornrows w/ box braids,Braids
Big Feeding Braids,Braids
"Wash and treatment, Weave maintenance","Hair Treatments, Weaves"
Manicure with Shellac,Manicure
"Touch up, Eye brow wax, Women's Haircut&Style",Eyebrows
"Brow wax, Underarms, Lip wax","Eyebrows, Waxing"
"PHL/OP, Toner",Hair Color
"Shampoo & Braid Down (for wig install), Women's Cut",Women's Haircut
Full sew in extensions w frontal,Weaves
"Women's Cut, Glazing treatment",Women's Haircut
"Brazilian Wax, Brow Wax",Waxing
"Woman's Cut, Pedicure, Manicure",Pedicure
"Full highlights, Trim (please read description)",Highlights
Full / partial sew-in,Weaves
"root touch up and cut, Women's Cut",Women's Haircut
***FIRST TIME CLIENTS SPEACIAL***,Extensions
"Extensions  leave out retouch, Thermal Style",Style
"Permanent Color, Shampoo/Updo",Hair Color
"Sleek Invisible Ponytail, Hair Trim/Add-on ONLY","Natural Hair, Sets & Styles, Style, Weaves, Women's Haircut"
Remove acrylic & apply gel polish,Manicure
"Full and Blowdry, Keratin Treatment",Straightening Treatments
WL/Medium Box Braids,Braids
"Women's HC, Partial Highlight, Root TouchUp",Hair Color
"Shampoo, Semi-Permanent, Deep Condition, Two Strand twist",Natural Hair
2 Feed In braids,Braids
MEGA lash extensions,Eyelashes
Box Braids medium & Large,Braids
"Women's Cut and Style, TONER/GLOSS (with color service), Accent Highlights/Lowlights (10 Foils or less), Color Re-touch (ROOTS)",Women's Haircut
Hair Consultation,Special Occasion Makeup
"Partial Foil Highlights, Color Retouch, Women's Cut","Highlights, Women's Haircut"
"Gel toes, Nail Repair","Pedicure, Manicure"
Silk Press And  Curl,Natural Hair
Colored acrylic fullset with nail art,Manicure
"Wash & style (Weave), Take down (Weave removal)",Weaves
"Women's Cut, Olaplex as an add-on service",Women's Haircut
"Retouch Roots, Women's Cut",Women's Haircut
Braiding prep for Sew-In/Wig install,Braids
Kids braid style w/weave,Braids
"Women's Cut (No Blowout), Root touch up, Toner, Gloss, Glaze w/ Service",Hair Color
Temp Fades,Men's Haircut
"Gel Mani w/ removal, Chrome nails (all 10)",Manicure
"Full Foil Highlights, Deep Conditioning Treatment, Women's Cut","Highlights, Hair Treatments, Women's Haircut"
Silkpress & no heat cond,Style
"Women's Haircut, Silk Press","Women's Haircut, Natural Hair"
Crochet Locs ***SALE***,Natural Hair
"updo, Women's Cut",Women's Haircut
Lemonade Braids (small),Braids
